Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,};
Customers = {9,10,11,12,13,14,15,16,17,18,};
Depot_N1 = {19};

v = 1.0;
C = 1000.0;
Q = 60.63;
g = 0.49;
h = 1.0;

XCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	28.0
4	:	28.0
5	:	21.0
6	:	21.0
7	:	34.0
8	:	34.0
9	:	53.0
10	:	47.0
11	:	20.0
12	:	41.0
13	:	35.0
14	:	31.0
15	:	11.0
16	:	47.0
17	:	26.0
18	:	18.0
19	:	35.0
]#;

YCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	62.0
4	:	62.0
5	:	22.0
6	:	22.0
7	:	16.0
8	:	16.0
9	:	43.0
10	:	47.0
11	:	40.0
12	:	37.0
13	:	69.0
14	:	52.0
15	:	31.0
16	:	16.0
17	:	27.0
18	:	18.0
19	:	35.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	14.0
10	:	13.0
11	:	12.0
12	:	16.0
13	:	23.0
14	:	27.0
15	:	7.0
16	:	25.0
17	:	27.0
18	:	17.0
19	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	86.0
10	:	507.0
11	:	403.0
12	:	357.0
13	:	501.0
14	:	591.0
15	:	314.0
16	:	104.0
17	:	534.0
18	:	118.0
19	:	0.0
]#;

l = #[
0	:	1000.0
1	:	1000.0
2	:	1000.0
3	:	1000.0
4	:	1000.0
5	:	1000.0
6	:	1000.0
7	:	1000.0
8	:	1000.0
9	:	224.0
10	:	599.0
11	:	513.0
12	:	495.0
13	:	621.0
14	:	809.0
15	:	448.0
16	:	252.0
17	:	642.0
18	:	148.0
19	:	1000.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	10.0
10	:	10.0
11	:	10.0
12	:	10.0
13	:	10.0
14	:	10.0
15	:	10.0
16	:	10.0
17	:	10.0
18	:	10.0
19	:	0.0
]#;
