Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,};
Customers = {9,10,11,12,13,14,15,16,17,18,};
Depot_N1 = {19};

v = 1.0;
C = 1000.0;
Q = 77.75;
g = 0.39;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	77.0
4	:	77.0
5	:	57.0
6	:	57.0
7	:	10.0
8	:	10.0
9	:	55.0
10	:	55.0
11	:	12.0
12	:	31.0
13	:	2.0
14	:	15.0
15	:	88.0
16	:	27.0
17	:	61.0
18	:	18.0
19	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	52.0
4	:	52.0
5	:	82.0
6	:	82.0
7	:	28.0
8	:	28.0
9	:	54.0
10	:	85.0
11	:	24.0
12	:	67.0
13	:	40.0
14	:	10.0
15	:	35.0
16	:	43.0
17	:	52.0
18	:	75.0
19	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	26.0
10	:	20.0
11	:	13.0
12	:	3.0
13	:	20.0
14	:	20.0
15	:	20.0
16	:	9.0
17	:	3.0
18	:	20.0
19	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	319.0
10	:	39.0
11	:	441.0
12	:	528.0
13	:	607.0
14	:	198.0
15	:	71.0
16	:	488.0
17	:	350.0
18	:	142.0
19	:	0.0
]#;

l = #[
0	:	960.0
1	:	960.0
2	:	960.0
3	:	960.0
4	:	960.0
5	:	960.0
6	:	960.0
7	:	960.0
8	:	960.0
9	:	355.0
10	:	490.0
11	:	441.0
12	:	528.0
13	:	739.0
14	:	406.0
15	:	689.0
16	:	650.0
17	:	404.0
18	:	494.0
19	:	960.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	10.0
10	:	10.0
11	:	10.0
12	:	10.0
13	:	10.0
14	:	10.0
15	:	10.0
16	:	10.0
17	:	10.0
18	:	10.0
19	:	0.0
]#;
