Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,9,10,};
Customers = {11,12,13,14,15,16,17,18,19,20,};
Depot_N1 = {21};

v = 1.0;
C = 1000.0;
Q = 60.63;
g = 0.49;
h = 1.0;

XCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	59.0
4	:	59.0
5	:	20.0
6	:	20.0
7	:	15.0
8	:	15.0
9	:	21.0
10	:	21.0
11	:	11.0
12	:	20.0
13	:	32.0
14	:	61.0
15	:	37.0
16	:	15.0
17	:	12.0
18	:	49.0
19	:	57.0
20	:	5.0
21	:	35.0
]#;

YCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	67.0
4	:	67.0
5	:	61.0
6	:	61.0
7	:	42.0
8	:	42.0
9	:	22.0
10	:	22.0
11	:	31.0
12	:	65.0
13	:	12.0
14	:	52.0
15	:	47.0
16	:	30.0
17	:	24.0
18	:	11.0
19	:	68.0
20	:	30.0
21	:	35.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	7.0
12	:	12.0
13	:	7.0
14	:	3.0
15	:	6.0
16	:	26.0
17	:	13.0
18	:	18.0
19	:	15.0
20	:	2.0
21	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	648.0
15	:	0.0
16	:	21.0
17	:	329.0
18	:	0.0
19	:	0.0
20	:	0.0
21	:	0.0
]#;

l = #[
0	:	1000.0
1	:	1000.0
2	:	1000.0
3	:	1000.0
4	:	1000.0
5	:	1000.0
6	:	1000.0
7	:	1000.0
8	:	1000.0
9	:	1000.0
10	:	1000.0
11	:	965.0
12	:	956.0
13	:	966.0
14	:	826.0
15	:	977.0
16	:	182.0
17	:	551.0
18	:	962.0
19	:	950.0
20	:	959.0
21	:	1000.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	10.0
12	:	10.0
13	:	10.0
14	:	10.0
15	:	10.0
16	:	10.0
17	:	10.0
18	:	10.0
19	:	10.0
20	:	10.0
21	:	0.0
]#;
