Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,};
Customers = {9,10,11,12,13,14,15,16,17,18,};
Depot_N1 = {19};

v = 1.0;
C = 200.0;
Q = 77.75;
g = 3.47;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	57.0
4	:	57.0
5	:	22.0
6	:	22.0
7	:	76.0
8	:	76.0
9	:	53.0
10	:	8.0
11	:	85.0
12	:	42.0
13	:	65.0
14	:	60.0
15	:	33.0
16	:	28.0
17	:	40.0
18	:	28.0
19	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	82.0
4	:	82.0
5	:	34.0
6	:	34.0
7	:	21.0
8	:	21.0
9	:	30.0
10	:	45.0
11	:	25.0
12	:	66.0
13	:	60.0
14	:	80.0
15	:	32.0
16	:	52.0
17	:	15.0
18	:	30.0
19	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	10.0
10	:	20.0
11	:	10.0
12	:	10.0
13	:	30.0
14	:	10.0
15	:	20.0
16	:	20.0
17	:	40.0
18	:	10.0
19	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	177.0
15	:	0.0
16	:	0.0
17	:	0.0
18	:	0.0
19	:	0.0
]#;

l = #[
0	:	1236.0
1	:	1236.0
2	:	1236.0
3	:	1236.0
4	:	1236.0
5	:	1236.0
6	:	1236.0
7	:	1236.0
8	:	1236.0
9	:	1122.0
10	:	1113.0
11	:	1094.0
12	:	1129.0
13	:	1119.0
14	:	243.0
15	:	1126.0
16	:	1133.0
17	:	1111.0
18	:	1122.0
19	:	1236.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	90.0
10	:	90.0
11	:	90.0
12	:	90.0
13	:	90.0
14	:	90.0
15	:	90.0
16	:	90.0
17	:	90.0
18	:	90.0
19	:	0.0
]#;
