Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,};
Customers = {9,10,11,12,13,14,15,16,17,18,};
Depot_N1 = {19};

v = 1.0;
C = 200.0;
Q = 60.63;
g = 0.49;
h = 1.0;

XCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	28.0
4	:	28.0
5	:	51.0
6	:	51.0
7	:	63.0
8	:	63.0
9	:	31.0
10	:	55.0
11	:	67.0
12	:	17.0
13	:	26.0
14	:	53.0
15	:	45.0
16	:	20.0
17	:	50.0
18	:	45.0
19	:	35.0
]#;

YCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	62.0
4	:	62.0
5	:	7.0
6	:	7.0
7	:	12.0
8	:	12.0
9	:	52.0
10	:	5.0
11	:	5.0
12	:	34.0
13	:	52.0
14	:	43.0
15	:	65.0
16	:	26.0
17	:	35.0
18	:	20.0
19	:	35.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	27.0
10	:	29.0
11	:	25.0
12	:	3.0
13	:	9.0
14	:	14.0
15	:	9.0
16	:	9.0
17	:	19.0
18	:	11.0
19	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	25.0
10	:	97.0
11	:	0.0
12	:	0.0
13	:	166.0
14	:	150.0
15	:	77.0
16	:	138.0
17	:	177.0
18	:	0.0
19	:	0.0
]#;

l = #[
0	:	230.0
1	:	230.0
2	:	230.0
3	:	230.0
4	:	230.0
5	:	230.0
6	:	230.0
7	:	230.0
8	:	230.0
9	:	35.0
10	:	107.0
11	:	176.0
12	:	201.0
13	:	176.0
14	:	160.0
15	:	87.0
16	:	148.0
17	:	187.0
18	:	201.0
19	:	230.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	10.0
10	:	10.0
11	:	10.0
12	:	10.0
13	:	10.0
14	:	10.0
15	:	10.0
16	:	10.0
17	:	10.0
18	:	10.0
19	:	0.0
]#;
