Depot_0 = {0};
Stations = {1,2,3,4,5,6,};
Customers = {7,8,9,10,11,};
Depot_N1 = {12};

v = 1.0;
C = 200.0;
Q = 60.63;
g = 0.49;
h = 1.0;

XCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	48.0
4	:	48.0
5	:	15.0
6	:	15.0
7	:	57.0
8	:	41.0
9	:	15.0
10	:	28.0
11	:	20.0
12	:	35.0
]#;

YCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	60.0
4	:	60.0
5	:	42.0
6	:	42.0
7	:	68.0
8	:	49.0
9	:	30.0
10	:	18.0
11	:	26.0
12	:	35.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	15.0
8	:	10.0
9	:	26.0
10	:	26.0
11	:	9.0
12	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	36.0
9	:	0.0
10	:	166.0
11	:	0.0
12	:	0.0
]#;

l = #[
0	:	230.0
1	:	230.0
2	:	230.0
3	:	230.0
4	:	230.0
5	:	230.0
6	:	230.0
7	:	180.0
8	:	46.0
9	:	199.0
10	:	176.0
11	:	202.0
12	:	230.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	10.0
8	:	10.0
9	:	10.0
10	:	10.0
11	:	10.0
12	:	0.0
]#;
