Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,9,10,};
Customers = {11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,};
Depot_N1 = {26};

v = 1.0;
C = 1000.0;
Q = 77.75;
g = 0.39;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	57.0
4	:	57.0
5	:	21.0
6	:	21.0
7	:	22.0
8	:	22.0
9	:	48.0
10	:	48.0
11	:	56.0
12	:	8.0
13	:	72.0
14	:	37.0
15	:	44.0
16	:	63.0
17	:	20.0
18	:	55.0
19	:	25.0
20	:	2.0
21	:	65.0
22	:	30.0
23	:	45.0
24	:	25.0
25	:	18.0
26	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	82.0
4	:	82.0
5	:	83.0
6	:	83.0
7	:	34.0
8	:	34.0
9	:	8.0
10	:	8.0
11	:	37.0
12	:	40.0
13	:	35.0
14	:	47.0
15	:	5.0
16	:	65.0
17	:	82.0
18	:	85.0
19	:	85.0
20	:	45.0
21	:	82.0
22	:	25.0
23	:	30.0
24	:	30.0
25	:	80.0
26	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	6.0
12	:	40.0
13	:	30.0
14	:	6.0
15	:	20.0
16	:	8.0
17	:	10.0
18	:	20.0
19	:	20.0
20	:	10.0
21	:	10.0
22	:	23.0
23	:	17.0
24	:	3.0
25	:	10.0
26	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	529.0
12	:	401.0
13	:	736.0
14	:	80.0
15	:	0.0
16	:	331.0
17	:	646.0
18	:	102.0
19	:	300.0
20	:	0.0
21	:	280.0
22	:	226.0
23	:	628.0
24	:	553.0
25	:	792.0
26	:	0.0
]#;

l = #[
0	:	960.0
1	:	960.0
2	:	960.0
3	:	960.0
4	:	960.0
5	:	960.0
6	:	960.0
7	:	960.0
8	:	960.0
9	:	960.0
10	:	960.0
11	:	649.0
12	:	521.0
13	:	856.0
14	:	200.0
15	:	904.0
16	:	451.0
17	:	766.0
18	:	222.0
19	:	420.0
20	:	911.0
21	:	400.0
22	:	346.0
23	:	748.0
24	:	673.0
25	:	912.0
26	:	960.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	10.0
12	:	10.0
13	:	10.0
14	:	10.0
15	:	10.0
16	:	10.0
17	:	10.0
18	:	10.0
19	:	10.0
20	:	10.0
21	:	10.0
22	:	10.0
23	:	10.0
24	:	10.0
25	:	10.0
26	:	0.0
]#;
