Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,9,10,};
Customers = {11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,};
Depot_N1 = {26};

v = 1.0;
C = 1000.0;
Q = 60.63;
g = 0.49;
h = 1.0;

XCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	64.0
4	:	64.0
5	:	48.0
6	:	48.0
7	:	20.0
8	:	20.0
9	:	21.0
10	:	21.0
11	:	8.0
12	:	28.0
13	:	55.0
14	:	26.0
15	:	2.0
16	:	35.0
17	:	30.0
18	:	37.0
19	:	40.0
20	:	15.0
21	:	45.0
22	:	57.0
23	:	55.0
24	:	27.0
25	:	65.0
26	:	35.0
]#;

YCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	37.0
4	:	37.0
5	:	60.0
6	:	60.0
7	:	61.0
8	:	61.0
9	:	22.0
10	:	22.0
11	:	56.0
12	:	18.0
13	:	60.0
14	:	52.0
15	:	48.0
16	:	40.0
17	:	60.0
18	:	56.0
19	:	60.0
20	:	30.0
21	:	10.0
22	:	48.0
23	:	20.0
24	:	69.0
25	:	55.0
26	:	35.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	27.0
12	:	26.0
13	:	16.0
14	:	9.0
15	:	1.0
16	:	16.0
17	:	16.0
18	:	5.0
19	:	21.0
20	:	26.0
21	:	18.0
22	:	23.0
23	:	19.0
24	:	10.0
25	:	14.0
26	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	371.0
12	:	535.0
13	:	395.0
14	:	165.0
15	:	46.0
16	:	97.0
17	:	489.0
18	:	22.0
19	:	422.0
20	:	21.0
21	:	607.0
22	:	26.0
23	:	701.0
24	:	360.0
25	:	116.0
26	:	0.0
]#;

l = #[
0	:	1000.0
1	:	1000.0
2	:	1000.0
3	:	1000.0
4	:	1000.0
5	:	1000.0
6	:	1000.0
7	:	1000.0
8	:	1000.0
9	:	1000.0
10	:	1000.0
11	:	819.0
12	:	563.0
13	:	835.0
14	:	617.0
15	:	460.0
16	:	679.0
17	:	787.0
18	:	286.0
19	:	726.0
20	:	535.0
21	:	963.0
22	:	389.0
23	:	883.0
24	:	890.0
25	:	502.0
26	:	1000.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	10.0
12	:	10.0
13	:	10.0
14	:	10.0
15	:	10.0
16	:	10.0
17	:	10.0
18	:	10.0
19	:	10.0
20	:	10.0
21	:	10.0
22	:	10.0
23	:	10.0
24	:	10.0
25	:	10.0
26	:	0.0
]#;
