Depot_0 = {0};
Stations = {1,2,3,4,5,6,};
Customers = {7,8,9,10,11,};
Depot_N1 = {12};

v = 1.0;
C = 700.0;
Q = 77.75;
g = 3.47;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	10.0
4	:	10.0
5	:	27.0
6	:	27.0
7	:	0.0
8	:	26.0
9	:	35.0
10	:	38.0
11	:	44.0
12	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	28.0
4	:	28.0
5	:	10.0
6	:	10.0
7	:	45.0
8	:	32.0
9	:	5.0
10	:	5.0
11	:	5.0
12	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	20.0
8	:	10.0
9	:	20.0
10	:	30.0
11	:	20.0
12	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	1642.0
8	:	255.0
9	:	1152.0
10	:	1245.0
11	:	1431.0
12	:	0.0
]#;

l = #[
0	:	3390.0
1	:	3390.0
2	:	3390.0
3	:	3390.0
4	:	3390.0
5	:	3390.0
6	:	3390.0
7	:	2282.0
8	:	895.0
9	:	1792.0
10	:	1885.0
11	:	2071.0
12	:	3390.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	90.0
8	:	90.0
9	:	90.0
10	:	90.0
11	:	90.0
12	:	0.0
]#;
