Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,};
Customers = {9,10,11,12,13,};
Depot_N1 = {14};

v = 1.0;
C = 1000.0;
Q = 77.75;
g = 0.39;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	14.0
4	:	14.0
5	:	22.0
6	:	22.0
7	:	39.0
8	:	39.0
9	:	38.0
10	:	42.0
11	:	42.0
12	:	20.0
13	:	49.0
14	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	59.0
4	:	59.0
5	:	34.0
6	:	34.0
7	:	26.0
8	:	26.0
9	:	5.0
10	:	10.0
11	:	12.0
12	:	80.0
13	:	58.0
14	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	30.0
10	:	40.0
11	:	10.0
12	:	40.0
13	:	10.0
14	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	712.0
13	:	0.0
14	:	0.0
]#;

l = #[
0	:	960.0
1	:	960.0
2	:	960.0
3	:	960.0
4	:	960.0
5	:	960.0
6	:	960.0
7	:	960.0
8	:	960.0
9	:	904.0
10	:	909.0
11	:	911.0
12	:	832.0
13	:	937.0
14	:	960.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	10.0
10	:	10.0
11	:	10.0
12	:	10.0
13	:	10.0
14	:	0.0
]#;
