Depot_0 = {0};
Stations = {1,2,3,4,5,6,};
Customers = {7,8,9,10,11,};
Depot_N1 = {12};

v = 1.0;
C = 1000.0;
Q = 60.63;
g = 0.49;
h = 1.0;

XCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	21.0
4	:	21.0
5	:	34.0
6	:	34.0
7	:	53.0
8	:	5.0
9	:	20.0
10	:	20.0
11	:	47.0
12	:	35.0
]#;

YCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	22.0
4	:	22.0
5	:	16.0
6	:	16.0
7	:	43.0
8	:	30.0
9	:	20.0
10	:	40.0
11	:	16.0
12	:	35.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	14.0
8	:	2.0
9	:	8.0
10	:	12.0
11	:	25.0
12	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	86.0
8	:	0.0
9	:	0.0
10	:	403.0
11	:	104.0
12	:	0.0
]#;

l = #[
0	:	1000.0
1	:	1000.0
2	:	1000.0
3	:	1000.0
4	:	1000.0
5	:	1000.0
6	:	1000.0
7	:	224.0
8	:	959.0
9	:	968.0
10	:	513.0
11	:	252.0
12	:	1000.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	10.0
8	:	10.0
9	:	10.0
10	:	10.0
11	:	10.0
12	:	0.0
]#;
