Depot_0 = {0};
Stations = {1,2,3,4,};
Customers = {5,6,7,8,9,};
Depot_N1 = {10};

v = 1.0;
C = 200.0;
Q = 77.75;
g = 3.47;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	39.0
4	:	39.0
5	:	30.0
6	:	58.0
7	:	48.0
8	:	40.0
9	:	25.0
10	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	26.0
4	:	26.0
5	:	50.0
6	:	75.0
7	:	40.0
8	:	15.0
9	:	50.0
10	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	10.0
6	:	20.0
7	:	10.0
8	:	40.0
9	:	10.0
10	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	67.0
8	:	989.0
9	:	0.0
10	:	0.0
]#;

l = #[
0	:	1236.0
1	:	1236.0
2	:	1236.0
3	:	1236.0
4	:	1236.0
5	:	1136.0
6	:	1115.0
7	:	139.0
8	:	1063.0
9	:	1131.0
10	:	1236.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	90.0
6	:	90.0
7	:	90.0
8	:	90.0
9	:	90.0
10	:	0.0
]#;
