Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,};
Customers = {9,10,11,12,13,};
Depot_N1 = {14};

v = 1.0;
C = 200.0;
Q = 77.75;
g = 0.39;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	57.0
4	:	57.0
5	:	14.0
6	:	14.0
7	:	39.0
8	:	39.0
9	:	8.0
10	:	40.0
11	:	30.0
12	:	27.0
13	:	65.0
14	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	82.0
4	:	82.0
5	:	59.0
6	:	59.0
7	:	26.0
8	:	26.0
9	:	40.0
10	:	15.0
11	:	60.0
12	:	43.0
13	:	85.0
14	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	40.0
10	:	40.0
11	:	16.0
12	:	9.0
13	:	40.0
14	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	76.0
10	:	96.0
11	:	15.0
12	:	111.0
13	:	59.0
14	:	0.0
]#;

l = #[
0	:	240.0
1	:	240.0
2	:	240.0
3	:	240.0
4	:	240.0
5	:	240.0
6	:	240.0
7	:	240.0
8	:	240.0
9	:	126.0
10	:	146.0
11	:	116.0
12	:	147.0
13	:	114.0
14	:	240.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	10.0
10	:	10.0
11	:	10.0
12	:	10.0
13	:	10.0
14	:	0.0
]#;
