Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,};
Customers = {9,10,11,12,13,};
Depot_N1 = {14};

v = 1.0;
C = 700.0;
Q = 77.75;
g = 3.47;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	10.0
4	:	10.0
5	:	39.0
6	:	39.0
7	:	61.0
8	:	61.0
9	:	5.0
10	:	44.0
11	:	32.0
12	:	72.0
13	:	45.0
14	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	28.0
4	:	28.0
5	:	26.0
6	:	26.0
7	:	14.0
8	:	14.0
9	:	35.0
10	:	5.0
11	:	20.0
12	:	45.0
13	:	65.0
14	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	10.0
10	:	20.0
11	:	10.0
12	:	10.0
13	:	20.0
14	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	1954.0
10	:	1442.0
11	:	693.0
12	:	1419.0
13	:	948.0
14	:	0.0
]#;

l = #[
0	:	3390.0
1	:	3390.0
2	:	3390.0
3	:	3390.0
4	:	3390.0
5	:	3390.0
6	:	3390.0
7	:	3390.0
8	:	3390.0
9	:	2536.0
10	:	2060.0
11	:	1215.0
12	:	1969.0
13	:	1570.0
14	:	3390.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	90.0
10	:	90.0
11	:	90.0
12	:	90.0
13	:	90.0
14	:	0.0
]#;
