Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,9,10,};
Customers = {11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,};
Depot_N1 = {26};

v = 1.0;
C = 200.0;
Q = 77.75;
g = 3.47;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	57.0
4	:	57.0
5	:	21.0
6	:	21.0
7	:	22.0
8	:	22.0
9	:	39.0
10	:	39.0
11	:	50.0
12	:	20.0
13	:	58.0
14	:	38.0
15	:	5.0
16	:	22.0
17	:	35.0
18	:	32.0
19	:	26.0
20	:	62.0
21	:	15.0
22	:	8.0
23	:	68.0
24	:	15.0
25	:	35.0
26	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	82.0
4	:	82.0
5	:	83.0
6	:	83.0
7	:	34.0
8	:	34.0
9	:	26.0
10	:	26.0
11	:	30.0
12	:	55.0
13	:	75.0
14	:	15.0
15	:	35.0
16	:	75.0
17	:	66.0
18	:	30.0
19	:	32.0
20	:	80.0
21	:	75.0
22	:	40.0
23	:	60.0
24	:	80.0
25	:	30.0
26	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	10.0
12	:	10.0
13	:	20.0
14	:	10.0
15	:	10.0
16	:	30.0
17	:	10.0
18	:	10.0
19	:	10.0
20	:	30.0
21	:	20.0
22	:	40.0
23	:	30.0
24	:	10.0
25	:	10.0
26	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	980.0
12	:	0.0
13	:	0.0
14	:	66.0
15	:	655.0
16	:	1042.0
17	:	779.0
18	:	0.0
19	:	0.0
20	:	0.0
21	:	0.0
22	:	355.0
23	:	0.0
24	:	455.0
25	:	143.0
26	:	0.0
]#;

l = #[
0	:	1236.0
1	:	1236.0
2	:	1236.0
3	:	1236.0
4	:	1236.0
5	:	1236.0
6	:	1236.0
7	:	1236.0
8	:	1236.0
9	:	1236.0
10	:	1236.0
11	:	1064.0
12	:	1125.0
13	:	1115.0
14	:	124.0
15	:	725.0
16	:	1106.0
17	:	845.0
18	:	1124.0
19	:	1123.0
20	:	1108.0
21	:	1110.0
22	:	437.0
23	:	1116.0
24	:	513.0
25	:	199.0
26	:	1236.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	90.0
12	:	90.0
13	:	90.0
14	:	90.0
15	:	90.0
16	:	90.0
17	:	90.0
18	:	90.0
19	:	90.0
20	:	90.0
21	:	90.0
22	:	90.0
23	:	90.0
24	:	90.0
25	:	90.0
26	:	0.0
]#;
