Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,};
Customers = {9,10,11,12,13,14,15,16,17,18,};
Depot_N1 = {19};

v = 1.0;
C = 200.0;
Q = 77.75;
g = 0.39;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	77.0
4	:	77.0
5	:	39.0
6	:	39.0
7	:	77.0
8	:	77.0
9	:	35.0
10	:	30.0
11	:	42.0
12	:	20.0
13	:	55.0
14	:	53.0
15	:	95.0
16	:	8.0
17	:	20.0
18	:	55.0
19	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	52.0
4	:	52.0
5	:	26.0
6	:	26.0
7	:	30.0
8	:	30.0
9	:	69.0
10	:	25.0
11	:	12.0
12	:	82.0
13	:	60.0
14	:	43.0
15	:	30.0
16	:	40.0
17	:	50.0
18	:	82.0
19	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	23.0
10	:	23.0
11	:	10.0
12	:	10.0
13	:	16.0
14	:	14.0
15	:	30.0
16	:	40.0
17	:	5.0
18	:	10.0
19	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	83.0
10	:	27.0
11	:	85.0
12	:	53.0
13	:	170.0
14	:	140.0
15	:	121.0
16	:	86.0
17	:	0.0
18	:	36.0
19	:	0.0
]#;

l = #[
0	:	240.0
1	:	240.0
2	:	240.0
3	:	240.0
4	:	240.0
5	:	240.0
6	:	240.0
7	:	240.0
8	:	240.0
9	:	113.0
10	:	57.0
11	:	115.0
12	:	83.0
13	:	200.0
14	:	170.0
15	:	151.0
16	:	116.0
17	:	210.0
18	:	66.0
19	:	240.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	10.0
10	:	10.0
11	:	10.0
12	:	10.0
13	:	10.0
14	:	10.0
15	:	10.0
16	:	10.0
17	:	10.0
18	:	10.0
19	:	0.0
]#;
