Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,};
Customers = {9,10,11,12,13,14,15,16,17,18,};
Depot_N1 = {19};

v = 1.0;
C = 200.0;
Q = 77.75;
g = 0.39;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	57.0
4	:	57.0
5	:	31.0
6	:	31.0
7	:	77.0
8	:	77.0
9	:	37.0
10	:	20.0
11	:	67.0
12	:	92.0
13	:	6.0
14	:	35.0
15	:	61.0
16	:	63.0
17	:	47.0
18	:	21.0
19	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	82.0
4	:	82.0
5	:	84.0
6	:	84.0
7	:	30.0
8	:	30.0
9	:	31.0
10	:	82.0
11	:	85.0
12	:	30.0
13	:	68.0
14	:	40.0
15	:	52.0
16	:	23.0
17	:	47.0
18	:	24.0
19	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	14.0
10	:	10.0
11	:	20.0
12	:	10.0
13	:	30.0
14	:	16.0
15	:	3.0
16	:	2.0
17	:	13.0
18	:	28.0
19	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	74.0
10	:	38.0
11	:	61.0
12	:	74.0
13	:	39.0
14	:	12.0
15	:	22.0
16	:	36.0
17	:	8.0
18	:	125.0
19	:	0.0
]#;

l = #[
0	:	240.0
1	:	240.0
2	:	240.0
3	:	240.0
4	:	240.0
5	:	240.0
6	:	240.0
7	:	240.0
8	:	240.0
9	:	192.0
10	:	192.0
11	:	185.0
12	:	174.0
13	:	151.0
14	:	109.0
15	:	101.0
16	:	194.0
17	:	150.0
18	:	197.0
19	:	240.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	10.0
10	:	10.0
11	:	10.0
12	:	10.0
13	:	10.0
14	:	10.0
15	:	10.0
16	:	10.0
17	:	10.0
18	:	10.0
19	:	0.0
]#;
