Depot_0 = {0};
Stations = {1,2,3,4,5,6,};
Customers = {7,8,9,10,11,12,13,14,15,16,};
Depot_N1 = {17};

v = 1.0;
C = 200.0;
Q = 60.63;
g = 0.49;
h = 1.0;

XCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	15.0
4	:	15.0
5	:	21.0
6	:	21.0
7	:	15.0
8	:	11.0
9	:	37.0
10	:	20.0
11	:	35.0
12	:	55.0
13	:	14.0
14	:	6.0
15	:	45.0
16	:	10.0
17	:	35.0
]#;

YCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	42.0
4	:	42.0
5	:	22.0
6	:	22.0
7	:	19.0
8	:	31.0
9	:	31.0
10	:	40.0
11	:	40.0
12	:	54.0
13	:	37.0
14	:	38.0
15	:	30.0
16	:	20.0
17	:	35.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	1.0
8	:	7.0
9	:	14.0
10	:	12.0
11	:	16.0
12	:	26.0
13	:	11.0
14	:	16.0
15	:	17.0
16	:	19.0
17	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	87.0
8	:	96.0
9	:	0.0
10	:	0.0
11	:	173.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	71.0
17	:	0.0
]#;

l = #[
0	:	230.0
1	:	230.0
2	:	230.0
3	:	230.0
4	:	230.0
5	:	230.0
6	:	230.0
7	:	97.0
8	:	106.0
9	:	215.0
10	:	204.0
11	:	183.0
12	:	192.0
13	:	198.0
14	:	190.0
15	:	208.0
16	:	81.0
17	:	230.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	10.0
8	:	10.0
9	:	10.0
10	:	10.0
11	:	10.0
12	:	10.0
13	:	10.0
14	:	10.0
15	:	10.0
16	:	10.0
17	:	0.0
]#;
